# BUSCO version is: 4.1.3 
# The lineage dataset is: nostocales_odb10 (Creation date: 2020-03-06, number of species: 32, number of BUSCOs: 1899)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
654at1161	Complete	Anabaena_cylindrica_PCC_7122_4005	4527419	4529698	1308.4	662	https://www.orthodb.org/v10?query=654at1161	amylo-alpha-1,6-glucosidase
655at1161	Complete	Anabaena_cylindrica_PCC_7122_1713	1967583	1969796	1332.6	645	https://www.orthodb.org/v10?query=655at1161	transketolase
658at1161	Complete	Anabaena_cylindrica_PCC_7122_4623	5215228	5217948	1475.1	737	https://www.orthodb.org/v10?query=658at1161	peptidase C39
661at1161	Complete	Anabaena_cylindrica_PCC_7122_5489	6237707	6240103	1468.4	719	https://www.orthodb.org/v10?query=661at1161	phosphoribosylformylglycinamidine synthase II
664at1161	Complete	Anabaena_cylindrica_PCC_7122_860	1028676	1033328	855.8	792	https://www.orthodb.org/v10?query=664at1161	B2J2H5_NOSP7
667at1161	Complete	Anabaena_cylindrica_PCC_7122_1031	1219353	1222355	1396.7	832	https://www.orthodb.org/v10?query=667at1161	Uncharacterised protein family UPF0182
674at1161	Complete	Anabaena_cylindrica_PCC_7122_3827	4363918	4366383	1501.0	755	https://www.orthodb.org/v10?query=674at1161	ATP-dependent DNA helicase RecG
693at1161	Complete	Anabaena_cylindrica_PCC_7122_694	824706	826982	1345.3	653	https://www.orthodb.org/v10?query=693at1161	(p)ppGpp synthetase
728at1161	Complete	Anabaena_cylindrica_PCC_7122_2430	2754729	2757287	1292.3	759	https://www.orthodb.org/v10?query=728at1161	dynamin family protein
734at1161	Complete	Anabaena_cylindrica_PCC_7122_2948	3356780	3359128	1233.8	645	https://www.orthodb.org/v10?query=734at1161	iron ABC transporter substrate-binding protein
750at1161	Complete	Anabaena_cylindrica_PCC_7122_5501	6250180	6252450	1291.0	671	https://www.orthodb.org/v10?query=750at1161	penicillin-binding protein
752at1161	Complete	Anabaena_cylindrica_PCC_7122_2403	2709835	2712420	1377.9	752	https://www.orthodb.org/v10?query=752at1161	chloride channel protein
761at1161	Complete	Anabaena_cylindrica_PCC_7122_2976	3383608	3385578	1271.1	591	https://www.orthodb.org/v10?query=761at1161	acetyl-coenzyme A synthetase
771at1161	Complete	Anabaena_cylindrica_PCC_7122_2564	2919491	2921647	1277.4	643	https://www.orthodb.org/v10?query=771at1161	polyribonucleotide nucleotidyltransferase
772at1161	Complete	Anabaena_cylindrica_PCC_7122_718	856257	858368	1083.1	532	https://www.orthodb.org/v10?query=772at1161	LOR/SDH bifunctional protein
781at1161	Complete	Anabaena_cylindrica_PCC_7122_4180	4694510	4696522	1037.7	575	https://www.orthodb.org/v10?query=781at1161	transketolase
801at1161	Complete	Anabaena_cylindrica_PCC_7122_435	533829	536381	1380.6	731	https://www.orthodb.org/v10?query=801at1161	primosomal protein N'
804at1161	Complete	Anabaena_cylindrica_PCC_7122_1811	2058093	2060444	1187.6	670	https://www.orthodb.org/v10?query=804at1161	Carbamoyltransferase
809at1161	Complete	Anabaena_cylindrica_PCC_7122_959	1135147	1138158	1286.8	808	https://www.orthodb.org/v10?query=809at1161	DUF1574 domain-containing protein
812at1161	Complete	Anabaena_cylindrica_PCC_7122_5592	6348399	6351035	1455.2	754	https://www.orthodb.org/v10?query=812at1161	endonuclease MutS2
815at1161	Fragmented	Anabaena_cylindrica_PCC_7122_1604	1847254	1849293	1032.5	567	https://www.orthodb.org/v10?query=815at1161	lipoprotein
833at1161	Complete	Anabaena_cylindrica_PCC_7122_4529	5107139	5109625	1065.5	591	https://www.orthodb.org/v10?query=833at1161	heterocyst differentiation protein
849at1161	Complete	Anabaena_cylindrica_PCC_7122_5082	5727588	5730020	1219.0	663	https://www.orthodb.org/v10?query=849at1161	DNA helicase
862at1161	Complete	Anabaena_cylindrica_PCC_7122_2491	2824033	2826111	1260.7	622	https://www.orthodb.org/v10?query=862at1161	elongation factor G
873at1161	Complete	Anabaena_cylindrica_PCC_7122_2530	2868547	2870712	1337.7	653	https://www.orthodb.org/v10?query=873at1161	Polyphosphate kinase
877at1161	Complete	Anabaena_cylindrica_PCC_7122_2724	3099881	3102400	1322.5	714	https://www.orthodb.org/v10?query=877at1161	DNA topoisomerase (ATP-hydrolyzing)
886at1161	Complete	Anabaena_cylindrica_PCC_7122_2594	2953786	2955663	1149.2	527	https://www.orthodb.org/v10?query=886at1161	DNA-directed RNA polymerase subunit gamma
891at1161	Complete	Anabaena_cylindrica_PCC_7122_655	792547	794721	1282.3	655	https://www.orthodb.org/v10?query=891at1161	ATP-dependent DNA helicase RecQ
922at1161	Complete	Anabaena_cylindrica_PCC_7122_2962	3371077	3373089	1226.9	573	https://www.orthodb.org/v10?query=922at1161	arginine decarboxylase
943at1161	Complete	Anabaena_cylindrica_PCC_7122_2401	2707024	2709183	1307.8	661	https://www.orthodb.org/v10?query=943at1161	RNA-binding protein
958at1161	Complete	Anabaena_cylindrica_PCC_7122_2278	2555386	2557536	1142.4	635	https://www.orthodb.org/v10?query=958at1161	glycine--tRNA ligase subunit beta
973at1161	Complete	Anabaena_cylindrica_PCC_7122_2288	2569305	2571521	1126.8	648	https://www.orthodb.org/v10?query=973at1161	lytic transglycosylase
981at1161	Complete	Anabaena_cylindrica_PCC_7122_3202	3654763	3656658	997.6	547	https://www.orthodb.org/v10?query=981at1161	glutamine--fructose-6-phosphate aminotransferase
985at1161	Complete	Anabaena_cylindrica_PCC_7122_4365	4908071	4910083	1047.5	575	https://www.orthodb.org/v10?query=985at1161	general secretion pathway protein GspE
1002at1161	Complete	Anabaena_cylindrica_PCC_7122_4017	4534364	4536193	1152.7	550	https://www.orthodb.org/v10?query=1002at1161	threonine--tRNA ligase
1004at1161	Complete	Anabaena_cylindrica_PCC_7122_994	1173280	1175325	1182.6	603	https://www.orthodb.org/v10?query=1004at1161	DNA ligase
1009at1161	Complete	Anabaena_cylindrica_PCC_7122_880	1051984	1053894	1248.6	578	https://www.orthodb.org/v10?query=1009at1161	1-deoxy-D-xylulose-5-phosphate synthase
1010at1161	Complete	Anabaena_cylindrica_PCC_7122_460	570179	572176	1204.6	597	https://www.orthodb.org/v10?query=1010at1161	excinuclease ABC subunit B
1019at1161	Complete	Anabaena_cylindrica_PCC_7122_1550	1794534	1796837	1207.8	646	https://www.orthodb.org/v10?query=1019at1161	single-stranded-DNA-specific exonuclease RecJ
1029at1161	Complete	Anabaena_cylindrica_PCC_7122_333	406718	408802	1123.1	578	https://www.orthodb.org/v10?query=1029at1161	flavin-dependent dehydrogenase
1046at1161	Complete	Anabaena_cylindrica_PCC_7122_1124	1341351	1343621	1098.8	646	https://www.orthodb.org/v10?query=1046at1161	Kef-type potassium/proton antiporter
1059at1161	Complete	Anabaena_cylindrica_PCC_7122_2756	3139022	3140992	1163.2	576	https://www.orthodb.org/v10?query=1059at1161	molecular chaperone HtpG
1060at1161	Complete	Anabaena_cylindrica_PCC_7122_3742	4271160	4273172	1178.9	586	https://www.orthodb.org/v10?query=1060at1161	FAD-binding protein
1064at1161	Complete	Anabaena_cylindrica_PCC_7122_3034	3443798	3445720	1165.9	574	https://www.orthodb.org/v10?query=1064at1161	penicillin-binding protein
1065at1161	Complete	Anabaena_cylindrica_PCC_7122_5231	5904219	5906276	1144.7	591	https://www.orthodb.org/v10?query=1065at1161	ribonuclease
1070at1161	Complete	Anabaena_cylindrica_PCC_7122_4584	5167933	5169723	1080.5	529	https://www.orthodb.org/v10?query=1070at1161	GTP-binding protein
1078at1161	Complete	Anabaena_cylindrica_PCC_7122_4629	5223013	5224941	1169.1	558	https://www.orthodb.org/v10?query=1078at1161	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
1091at1161	Complete	Anabaena_cylindrica_PCC_7122_4367	4911802	4913781	1130.4	565	https://www.orthodb.org/v10?query=1091at1161	Chaperone protein DnaK
1118at1161	Complete	Anabaena_cylindrica_PCC_7122_5613	6370192	6372105	1123.3	535	https://www.orthodb.org/v10?query=1118at1161	sulfite reductase, ferredoxin dependent
1122at1161	Complete	Anabaena_cylindrica_PCC_7122_1837	2083952	2085844	1155.3	550	https://www.orthodb.org/v10?query=1122at1161	Acetolactate synthase
1140at1161	Complete	Anabaena_cylindrica_PCC_7122_4336	4884669	4886774	1208.8	620	https://www.orthodb.org/v10?query=1140at1161	peptidase M3
1143at1161	Complete	Anabaena_cylindrica_PCC_7122_1077	1280763	1282520	983.6	523	https://www.orthodb.org/v10?query=1143at1161	arginine--tRNA ligase
1150at1161	Complete	Anabaena_cylindrica_PCC_7122_243	298236	300044	1043.2	520	https://www.orthodb.org/v10?query=1150at1161	proline--tRNA ligase
1161at1161	Complete	Anabaena_cylindrica_PCC_7122_658	795950	797932	1057.2	572	https://www.orthodb.org/v10?query=1161at1161	long-chain fatty acid--CoA ligase
1165at1161	Complete	Anabaena_cylindrica_PCC_7122_4396	4946885	4949164	1223.6	655	https://www.orthodb.org/v10?query=1165at1161	penicillin-binding protein
1172at1161	Complete	Anabaena_cylindrica_PCC_7122_4639	5235813	5237885	1069.3	623	https://www.orthodb.org/v10?query=1172at1161	Parallel beta-helix repeat protein
1178at1161	Complete	Anabaena_cylindrica_PCC_7122_4864	5487155	5489227	1124.0	629	https://www.orthodb.org/v10?query=1178at1161	SMC domain-containing protein
1191at1161	Complete	Anabaena_cylindrica_PCC_7122_2780	3168971	3171052	1077.4	586	https://www.orthodb.org/v10?query=1191at1161	oxidoreductase
1195at1161	Complete	Anabaena_cylindrica_PCC_7122_2098	2385460	2387301	1069.1	515	https://www.orthodb.org/v10?query=1195at1161	ATP-dependent zinc metalloprotease FtsH
1204at1161	Complete	Anabaena_cylindrica_PCC_7122_4823	5441091	5443739	1317.4	767	https://www.orthodb.org/v10?query=1204at1161	phosphohydrolase
1211at1161	Complete	Anabaena_cylindrica_PCC_7122_448	557623	559353	999.4	523	https://www.orthodb.org/v10?query=1211at1161	ATPase
1219at1161	Complete	Anabaena_cylindrica_PCC_7122_5096	5749506	5751566	1024.6	571	https://www.orthodb.org/v10?query=1219at1161	single-stranded-DNA-specific exonuclease RecJ
1231at1161	Complete	Anabaena_cylindrica_PCC_7122_5588	6341231	6342994	908.3	499	https://www.orthodb.org/v10?query=1231at1161	Ribonuclease J
1236at1161	Complete	Anabaena_cylindrica_PCC_7122_3119	3545952	3548219	1006.4	618	https://www.orthodb.org/v10?query=1236at1161	P-loop containing nucleoside triphosphate hydrolase
1237at1161	Complete	Anabaena_cylindrica_PCC_7122_111	123158	125566	1253.4	703	https://www.orthodb.org/v10?query=1237at1161	ATPase
1251at1161	Complete	Anabaena_cylindrica_PCC_7122_1707	1959985	1961679	1019.2	491	https://www.orthodb.org/v10?query=1251at1161	beta-carotene ketolase
1270at1161	Complete	Anabaena_cylindrica_PCC_7122_4004	4524624	4526633	1049.8	556	https://www.orthodb.org/v10?query=1270at1161	histidine kinase
1274at1161	Complete	Anabaena_cylindrica_PCC_7122_4314	4855114	4857192	1381.8	656	https://www.orthodb.org/v10?query=1274at1161	Chaperone protein DnaK
1276at1161	Complete	Anabaena_cylindrica_PCC_7122_2877	3273696	3276212	1007.1	591	https://www.orthodb.org/v10?query=1276at1161	organic solvent tolerance protein OstA
1279at1161	Complete	Anabaena_cylindrica_PCC_7122_3301	3754447	3756258	1069.9	523	https://www.orthodb.org/v10?query=1279at1161	elongation factor 4
1280at1161	Complete	Anabaena_cylindrica_PCC_7122_4371	4916882	4918471	998.8	467	https://www.orthodb.org/v10?query=1280at1161	glycoside hydrolase
1285at1161	Complete	Anabaena_cylindrica_PCC_7122_4657	5266836	5268956	1042.6	601	https://www.orthodb.org/v10?query=1285at1161	protein kinase
1302at1161	Complete	Anabaena_cylindrica_PCC_7122_5054	5704127	5706034	1065.5	541	https://www.orthodb.org/v10?query=1302at1161	Chaperone protein DnaK
1305at1161	Complete	Anabaena_cylindrica_PCC_7122_3307	3762722	3764509	1177.1	560	https://www.orthodb.org/v10?query=1305at1161	aspartate--tRNA ligase
1307at1161	Complete	Anabaena_cylindrica_PCC_7122_1663	1912832	1914628	977.9	511	https://www.orthodb.org/v10?query=1307at1161	flavin oxidoreductase
1308at1161	Complete	Anabaena_cylindrica_PCC_7122_3480	3954303	3956090	929.9	496	https://www.orthodb.org/v10?query=1308at1161	peptidase M61
1321at1161	Complete	Anabaena_cylindrica_PCC_7122_3496	3965998	3967929	1096.8	575	https://www.orthodb.org/v10?query=1321at1161	ABC transporter
1323at1161	Complete	Anabaena_cylindrica_PCC_7122_2905	3314794	3317184	1142.6	673	https://www.orthodb.org/v10?query=1323at1161	phosphoenolpyruvate synthase
1330at1161	Complete	Anabaena_cylindrica_PCC_7122_4675	5286237	5288258	1216.2	597	https://www.orthodb.org/v10?query=1330at1161	magnesium chelatase ATPase subunit D
1343at1161	Complete	Anabaena_cylindrica_PCC_7122_1566	1810975	1812852	1117.1	561	https://www.orthodb.org/v10?query=1343at1161	excinuclease ABC subunit C
1356at1161	Complete	Anabaena_cylindrica_PCC_7122_2667	3029892	3031619	1052.0	512	https://www.orthodb.org/v10?query=1356at1161	succinate dehydrogenase flavoprotein subunit
1362at1161	Complete	Anabaena_cylindrica_PCC_7122_1664	1914748	1916466	1026.6	510	https://www.orthodb.org/v10?query=1362at1161	diflavin flavoprotein A
1364at1161	Complete	Anabaena_cylindrica_PCC_7122_4781	5394946	5397066	1052.0	621	https://www.orthodb.org/v10?query=1364at1161	low-complexity protein
1366at1161	Complete	Anabaena_cylindrica_PCC_7122_3544	4023089	4025446	1134.3	684	https://www.orthodb.org/v10?query=1366at1161	competence protein
1371at1161	Complete	Anabaena_cylindrica_PCC_7122_1388	1631240	1633222	1181.2	573	https://www.orthodb.org/v10?query=1371at1161	unusual protein kinase
1377at1161	Complete	Anabaena_cylindrica_PCC_7122_2634	2997210	2998919	976.8	506	https://www.orthodb.org/v10?query=1377at1161	flavin oxidoreductase
1390at1161	Complete	Anabaena_cylindrica_PCC_7122_5423	6132613	6134289	1026.1	498	https://www.orthodb.org/v10?query=1390at1161	cytochrome c oxidase subunit I
1402at1161	Complete	Anabaena_cylindrica_PCC_7122_2602	2965389	2967473	1068.4	619	https://www.orthodb.org/v10?query=1402at1161	Chromosome segregation ATPase
1403at1161	Complete	Anabaena_cylindrica_PCC_7122_295	357444	359639	1128.3	644	https://www.orthodb.org/v10?query=1403at1161	Tetratricopeptide TPR_1 repeat-containing protein
1404at1161	Complete	Anabaena_cylindrica_PCC_7122_4129	4640665	4642287	1016.6	478	https://www.orthodb.org/v10?query=1404at1161	GMP synthase 
1410at1161	Complete	Anabaena_cylindrica_PCC_7122_4873	5498684	5500672	915.5	567	https://www.orthodb.org/v10?query=1410at1161	DNA sulfur modification protein DndD
1426at1161	Complete	Anabaena_cylindrica_PCC_7122_3599	4086639	4088282	660.1	325	https://www.orthodb.org/v10?query=1426at1161	Acetolactate synthase
1428at1161	Complete	Anabaena_cylindrica_PCC_7122_4767	5378619	5380358	969.3	485	https://www.orthodb.org/v10?query=1428at1161	nucleic acid-binding protein
1458at1161	Complete	Anabaena_cylindrica_PCC_7122_312	381044	383395	760.2	538	https://www.orthodb.org/v10?query=1458at1161	NHL repeat-containing protein
1459at1161	Complete	Anabaena_cylindrica_PCC_7122_3444	3917896	3919572	1036.4	506	https://www.orthodb.org/v10?query=1459at1161	Protein kinase-like protein
1476at1161	Complete	Anabaena_cylindrica_PCC_7122_1113	1322969	1324993	1066.4	543	https://www.orthodb.org/v10?query=1476at1161	PAS domain-containing sensor histidine kinase
1494at1161	Complete	Anabaena_cylindrica_PCC_7122_541	661788	663473	988.5	461	https://www.orthodb.org/v10?query=1494at1161	peptide chain release factor 3
1496at1161	Complete	Anabaena_cylindrica_PCC_7122_387	479536	482712	1037.2	608	https://www.orthodb.org/v10?query=1496at1161	chemotaxis protein
1497at1161	Complete	Anabaena_cylindrica_PCC_7122_2476	2806666	2808240	939.8	457	https://www.orthodb.org/v10?query=1497at1161	radical SAM protein
1498at1161	Complete	Anabaena_cylindrica_PCC_7122_5271	5954212	5955918	934.9	505	https://www.orthodb.org/v10?query=1498at1161	dihydroxy-acid dehydratase
1507at1161	Complete	Anabaena_cylindrica_PCC_7122_2635	2999110	3000858	1014.5	510	https://www.orthodb.org/v10?query=1507at1161	diflavin flavoprotein A
1519at1161	Complete	Anabaena_cylindrica_PCC_7122_2484	2816732	2818900	1126.3	572	https://www.orthodb.org/v10?query=1519at1161	ribonuclease E/G
1522at1161	Complete	Anabaena_cylindrica_PCC_7122_2681	3047415	3049088	991.7	481	https://www.orthodb.org/v10?query=1522at1161	3,4-dihydroxy-2-butanone-4-phosphate synthase
1530at1161	Complete	Anabaena_cylindrica_PCC_7122_2910	3323057	3324727	961.3	487	https://www.orthodb.org/v10?query=1530at1161	transglutaminase
1548at1161	Complete	Anabaena_cylindrica_PCC_7122_5074	5719605	5721131	835.5	442	https://www.orthodb.org/v10?query=1548at1161	Light-independent protochlorophyllide reductase subunit B
1589at1161	Complete	Anabaena_cylindrica_PCC_7122_3697	4208505	4210412	981.8	555	https://www.orthodb.org/v10?query=1589at1161	DNA primase
1600at1161	Complete	Anabaena_cylindrica_PCC_7122_1025	1210730	1212259	866.0	411	https://www.orthodb.org/v10?query=1600at1161	glucose-6-phosphate dehydrogenase
1628at1161	Complete	Anabaena_cylindrica_PCC_7122_424	518125	519861	1006.8	504	https://www.orthodb.org/v10?query=1628at1161	ABC-1 domain-containing protein
1634at1161	Complete	Anabaena_cylindrica_PCC_7122_4750	5362668	5364479	904.5	512	https://www.orthodb.org/v10?query=1634at1161	cell division protein FtsI
1638at1161	Complete	Anabaena_cylindrica_PCC_7122_828	996100	997941	936.2	534	https://www.orthodb.org/v10?query=1638at1161	tetratricopeptide repeat family protein
1662at1161	Complete	Anabaena_cylindrica_PCC_7122_5393	6103501	6105009	923.0	444	https://www.orthodb.org/v10?query=1662at1161	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
1665at1161	Complete	Anabaena_cylindrica_PCC_7122_1879	2129757	2131766	855.6	539	https://www.orthodb.org/v10?query=1665at1161	ATPase
1679at1161	Complete	Anabaena_cylindrica_PCC_7122_5577	6327975	6329681	1045.9	505	https://www.orthodb.org/v10?query=1679at1161	Urease subunit alpha
1683at1161	Complete	Anabaena_cylindrica_PCC_7122_2703	3075702	3077885	796.7	563	https://www.orthodb.org/v10?query=1683at1161	peptidase C14
1689at1161	Complete	Anabaena_cylindrica_PCC_7122_901	1075372	1077225	978.7	522	https://www.orthodb.org/v10?query=1689at1161	Nickel-transporting ATPase
1704at1161	Complete	Anabaena_cylindrica_PCC_7122_4036	4547468	4549135	948.5	495	https://www.orthodb.org/v10?query=1704at1161	NAD(P)H-quinone oxidoreductase chain 4
1709at1161	Complete	Anabaena_cylindrica_PCC_7122_5049	5698758	5700416	983.5	489	https://www.orthodb.org/v10?query=1709at1161	peptide ABC transporter substrate-binding protein
